old_gene	new_gene	reciprocal_best	old_to_new_pident	old_to_new_qcov	old_to_new_scov	old_to_new_bitscore	new_to_old_pident	new_to_old_qcov	new_to_old_scov	new_to_old_bitscore	new_protein_accession	old_to_new_title
B9J08_000001	B9J08_01960	True	100	100	100	783	100	100	100	783	KAK8440669.1	KAK8440669.1 hypothetical protein B9J08_01960 [Candidozyma auris]
B9J08_000002	B9J08_01961	True	100	100	100	1245	100	100	100	1245	KAK8440670.1	KAK8440670.1 hypothetical protein B9J08_01961 [Candidozyma auris]
B9J08_000003	B9J08_01962	True	100	100	100	946	100	100	100	946	KAK8440671.1	KAK8440671.1 hypothetical protein B9J08_01962 [Candidozyma auris]
B9J08_000004	B9J08_01963	True	100	100	100	161	100	100	100	161	KAK8440672.1	KAK8440672.1 hypothetical protein B9J08_01963 [Candidozyma auris]
B9J08_000005	B9J08_01964	True	100	100	100	251	100	100	100	251	KAK8440673.1	KAK8440673.1 hypothetical protein B9J08_01964 [Candidozyma auris]
B9J08_000006	B9J08_01965	True	100	100	100	544	100	100	100	544	KAK8440674.1	KAK8440674.1 hypothetical protein B9J08_01965 [Candidozyma auris]
B9J08_000007	B9J08_01966	True	100	100	100	907	100	100	100	907	KAK8440675.1	KAK8440675.1 hypothetical protein B9J08_01966 [Candidozyma auris]
B9J08_000008	B9J08_01967	True	100	100	100	1198	100	100	100	1198	KAK8440676.1	KAK8440676.1 hypothetical protein B9J08_01967 [Candidozyma auris]
B9J08_000009	B9J08_01968	True	100	100	100	934	100	100	100	934	KAK8440677.1	KAK8440677.1 hypothetical protein B9J08_01968 [Candidozyma auris]
B9J08_000010	B9J08_01969	True	100	100	100	1241	100	100	100	1241	KAK8440678.1	KAK8440678.1 hypothetical protein B9J08_01969 [Candidozyma auris]
B9J08_000011	B9J08_01970	True	100	100	100	2282	100	100	100	2282	KAK8440679.1	KAK8440679.1 hypothetical protein B9J08_01970 [Candidozyma auris]
B9J08_000012		False	100	100	100	634						KAK8440680.1 ribose-phosphate pyrophosphokinase 4 [Candidozyma auris]
B9J08_000013		False	100	100	100	1142						KAK8440681.1 dihydroxy-acid dehydratase, mitochondrial [Candidozyma auris]
B9J08_000014	B9J08_01973	True	100	100	100	664	100	100	100	664	KAK8440682.1	KAK8440682.1 hypothetical protein B9J08_01973 [Candidozyma auris]
B9J08_000015		False	100	100	100	855						KAK8440683.1 homocitrate synthase, mitochondrial [Candidozyma auris]
B9J08_000016	B9J08_01975	True	100	100	100	1835	100	100	100	1835	KAK8440684.1	KAK8440684.1 hypothetical protein B9J08_01975 [Candidozyma auris]
B9J08_000017	B9J08_01976	True	100	100	100	1267	100	100	100	1267	KAK8440685.1	KAK8440685.1 hypothetical protein B9J08_01976 [Candidozyma auris]
B9J08_000018	B9J08_01977	True	100	100	100	2181	100	100	100	2181	KAK8440686.1	KAK8440686.1 hypothetical protein B9J08_01977 [Candidozyma auris]
B9J08_000019	B9J08_01978	True	100	100	100	650	100	100	100	650	KAK8440687.1	KAK8440687.1 hypothetical protein B9J08_01978 [Candidozyma auris]
B9J08_000020		False	100	100	100	1016						KAK8440688.1 ATP synthase subunit alpha, mitochondrial [Candidozyma auris]
B9J08_000021	B9J08_01980	True	100	100	100	810	100	100	100	810	KAK8440689.1	KAK8440689.1 hypothetical protein B9J08_01980 [Candidozyma auris]
B9J08_000022	B9J08_01981	True	100	100	100	508	100	100	100	508	KAK8440690.1	KAK8440690.1 hypothetical protein B9J08_01981 [Candidozyma auris]
B9J08_000023		False	100	100	100	1716						KAK8440691.1 aminopeptidase 2 [Candidozyma auris]
B9J08_000024	B9J08_01983	True	100	100	100	288	100	100	100	288	KAK8440692.1	KAK8440692.1 hypothetical protein B9J08_01983 [Candidozyma auris]
B9J08_000025	B9J08_01984	True	100	100	100	393	100	100	100	393	KAK8440693.1	KAK8440693.1 hypothetical protein B9J08_01984 [Candidozyma auris]
